,id,correct,date,naive_date_confidence,total,naive_total_confidence,text
32,73,False,2016-01-20 19:11:51,0.6935666666666667,0.1,0.3346,"Carrefour city
CRF-CITY LA ROCHELLE
33 RUE DE LA SCIERIE
17000 LA ROCHELLE
Tel : 05.46.27.02.12
DESCRIPTION QTE MONTANT
150G CHIPS GOURMAN 0.66€
1L PS VELOUTE LEG 1.88€
200G  CHOCOLAT LAIT 1.98€
420G  SAUCE NAPOLIT 1.13€
BEIGNETS CALAMARS 2.34€
BROCOLI FILME 0.99€
CLEMENTINE 1.36€
0.5900kg x 2.30€/kg
EMMENTAL RAPE CRF 1.57€
PET 1.5L EAU MIN. 0.58€
PIZZA TONNO 2.52€
SAC POCKET CARREFO 1.00€
11 ARTICLE (S) TOTAL A PAYER 16.0€
CARTE BANCAIRE EMV EUR 16.0l€
Si vous aviez la carte fidélité,
vous auriez cumulé 0.10€ sur
votre compte fidélité Carrefour,.
Détails:
200G CHOCOLAT LAIT 0.10€
0008 003 000416 20/01/2016 19:11:51
MERCI DE VOTRE VISITE
A BIENTOT
"
97,248,False,2016-12-18 12:17:39,0.6854666666666667,27.49,0.6675666666666668,"Carrefour
market
Carrefour market AYTRE
Tel : 0546457320
Lundi au Samedi de 9h à 20h00
Dimanche 9h à 12h30
Rue Nicolas Gargot 17440 Aytré.
DESCRIPTION QTE MONTANT
80G CROC NOIR 80% 0.96€
CH0C0 NR 60% MADAG 0.96€
REMISE -0.42€
LT2X250G MLU CLASS 3x 5.85 17.55€
REMISE -5.85€
LT3X100G.EXT SUP.N 2.69€
*MACARON FRAMBOISE 1.60€
TOTAL ALIMENTAIRE 17.49€
BUGGY RC 1/18 >E 10.00€
TOTAL NON ALIMENTAIRE I0.00€
8 ARTICLE(S) TOTAL AVANT REMISES 33.76€
TOTAL REMISES IMMEDIATES -6.27€
TOTAL DES AVANTAGES DU JOUR -6.27€*
8 ARTICLE(S) TOTAL A PAYER 27.49€
ESPECES EUR 30.09€
Votre Monnaie -2.60€
0109 007 000080 18/12/2016 12:17:39
CARREFOUR MARKET AYTRE
Vous remercie de votre visite
A BIENTOT
Bravo vous avez cumule 2.0
Vignette(s) par operation
"
135,357,False,2017-06-12 11:40:24,0.6845,1.7,0.3349333333333333,"city
CRF-CITY LA ROCHELLE
33 RUE DE LA SCIERIE
17000 LA ROCHELLE
Tel : 05.46.27.02.12
DESCRIPTION QTE MONTANT
*500G CAROT.RAP.CRF 1.17€
*LT3X22G HWD 2FRESH 2.72€
MOUSSE AU CHOCOLAT 2x 3.11 6.22€
TABOULE VOLAILLE 1.70€
5 ARTICLE(S) TOTAL A PAYER 11.8l€
CB EMV SANS CONTACT EUR 11.8l€
0007 004 000062 12/06/2017 11:40:24
MERCI DE VOTRE VISITE
A BIENTOT
"
229,566,False,2017-03-18 16:44:16,0.6758000000000001,10.07,0.6673333333333333,"market
VAUVERT
Tel : 04 66 88 98 98
Lundi au Samedi de 8H30 à 19H30
Dimanche 9H00 a 12H30
Bienvenue chez Carrefour Market
DESCRIPTION QTE MONTANT
*1.5L MOJITO 7UP 1.55€
*AIGUILL.POULET X2 2.66€
BAGUETTE 250 0.55€
*CAMEMBER.LANQUETO 2.31€
*CERVELAS 200G 1.56€
*EMINCES DE GESIERS 2.21€
*KNACKI -25%SEL 1.30€
*PET 2L TROPICANA M 3.52€
*TERR.CAMP.CRF 180G 1.25€
TOTAL ALIMENTAIRE 16.91€
BLOC ENERGY OCEAN 2.16€
TOTAL BEAUTE / SANTE / HYGIENE 2.16€
10 ARTICLE(S) TOTAL A PAYER 19.07€
TITRES RESTAURANT EUR 9.00€
Référence 0766992348900900204
CARTE BANCAIRE EMV EUR 10.07€
Carte : 9135720000502559663
(*) Articles Eligibles aux TR 16.91€
0120 005 000134 18/03/2017 16:44:16
TOUTE L\'EQUIPE DE MARKET
VOUS REMERCIE DE VOTRE VISITE
"
236,580,False,2017-02-04 13:55:54,0.6736333333333333,14.57,0.6673,"market
VAUVERT
Tel : 04 66 88 98 98
Lundi au Samedi de 8H30 à 19H30
Dimanche 9H00 à 12H30
Bienvenue chez Carrefour Market
DESCRIPTION QTE MONTANT
180G SCE TOM AIL 0.99€
*2.5KG PDT CONS FQC 3.69€
*BAGUETTE BIO 250G 1.20€
*BRIE ROITELET 3.86€
0.3401 x 11.35€
*CHOUCROUTE GARNIE 3.90€
*KIWI PIECE 12x 0.25 3.00€
REMISE -1.02€
*TABOULE ORIENTAL 2.45€
TOTAL ALIMENTAIRE 18.07€
DEO BILLE FEM NART 2.28€
FILM 30M 1.40€
SERUM PHYSIOLOGIQU 1.62€
TOTAL BEAUTE / SANTE ! HYGIENE 5.30€
21 ARTICLE(S) TOTAL AVANT REMISES 24.39€
TOTAL REMISES IMMEDIATES -1.02€
TOTAL DES AVANTAGES DU JOUR -1.02€
21 ARTICLE(S) TOTAL A PAYER 23.37€
TITRES RESTAURANT EUR 8.80€
Référence 0319408264700880250
CARTE BANCAIRE EMV EUR 14.57€
Carte : 9135720000502559663
(*) Articles Eligibles aux TR 17.08€
0116 007 000098 04/02/2017 13:55:54
TOUTE L’EQUIPE DE MARKET
VOUS REMERCIE DE VOTRE VISITE
Bravo vous avez cumule 2.0
Vignette(s) par operation"
246,596,False,2005-09-02 06:17:17,0.5420666666666667,148.0,0.1684999999999999,"Bienvenue chez
Carrefour
* ST BRIEUC BIENVENUE *
TEL : 02.96.60.91.79
Lundi au samedi de 9h00 à 21h00
DESIGNATION P.U x QTE M
ONTANT
6 INST 20X30
3.90
Total Non Alimentaire
3.90
1 ARTICLE TOTAL A PAYER
3.90
€ Cartes Bancaires
3.90
9999052714800201706171729
17.06.17 17:29 0527148 0020 430
J\'OPTIMISME
"
247,598,False,1979-01-09 00:00:00,0.3040333333333333,1.56,0.5021,"CARREFOUR SAINT BRIEUC
RUE JULES VERNES RN12
22360, LANGUEUX
02 96 60 91 79
Magasin : 1228194
Juin 17, 2017 17:51:38
KODAK Picture Kiosk
K4535-5393
(4) 10 x 15 cm € 1,56
Sous-total €1,56
Montant dû €,.56
REÇU A CONSERVER
Vous déclarez avoir conservé une copie
de l’intégralité des fichiers contenus
sur votre support inséré dans la station
numérique KODAK lors de votre comnande
Eléments vendus 4
*Exemplaire du client*
ID de la comnande 1-7766
"
251,605,False,2017-07-15 11:56:00,0.7412000000000001,11.65,0.6690999999999999,"PRIMEURS 17
06 63 28 50 44
Balance: 3 Client: 64
Date : 15/07/2017 11:56
Vendeur : 3 GILLOU
Rayon : 1 -
Num Ticket : 162
kg € /kg €
abricot
O,970 3,90 3,78
brugnon blanc
1,090 3,40 3,71
peche Jaune
0,530 3,40 1,80
avocat
2 Art x 1,50 3,00
TOTAL: 12,29
Dont TVA 5,50%: 0,64 €
Total TVA : 0,64 €
Total HT : 11,65 €
4 transaction(s)
5 Article(+)"
261,629,False,2017-06-22 16:43:00,0.6689999999999999,40.1,0.3342666666666666,"SUPER U
Route de Codognan
30310 VERGEZE
Tel : 04.66.35.36.30
De 8h30 A 20h00
Le dimanche de 8h30 A 12h30
Opérateur Date Heure TPV Ticket
224 CD 22/06/17 16:43 5 672902
>>>> EPICERIE
PORRIDGE FIQUE/FRAMB.BJ0RG375G 3.48 €
JB LENTILLES CUIS.LEG.BIO 400G 2.59 €
MOULIN.LEG.PRINT.BIO POTAG. 1L 2.55 €
GALETTES 4CER.RIZ C.U BIO 130G
2 x 0.99 1,98 €
TOTAL 5 Article(s) 10.60 €
ESPECES 50.70 €
Rendu ESPECES 40.10 €
11 / Taux Réduit 5.5% = 0,55 €
AVEC LA CARTE U VOUS AURIEZ OBTENU
0.10 €
Opérateur Date Heure TPV Ticket
224 CD 22/06/17 16:43 5 672902
MERCI DE VOTRE VISITE
A BIENTOT
TICKET A CONSERVER
6690130005672902
"
262,630,False,1986-05-03 06:20:17,0.5078,38.34,0.5008666666666667,"LEROY MERLIN
PUILBOREAU
tel : 05.46.68.32.32
cour matériaux : 7h30-20h
magasin : 8h00 – 20h
www.leroymerlin.fr
Vente
ELECTRICITE-PLOMBERIE EUR
4 CACHES PRISES 16A BLANC LEGRAND
H 3245060958411 2 x 5.05 10.10
SANITAIRE
ABATTANT BOLERO SENSEA BLANC BLANC 0
H 3276005607354 35.90
TOTAL (EUR) 46.00
CARTE BANCAIRE 000319 46.00 EUR
*** TVA EUR ***
Tva H 20.00% : 7.66 HT : 38.34
TOTAL TVA : : 7.66 Total HT : 38.34
1 EURO = 6.55957 FRF
Vous souhaitez consulter ou parti-
ciper aux cours de bricolage,
renseignez-vous sur Ieroymerlin.fr
ou à l\'accueil du magasin
Le calendrier annuel est disponible
à l\'accueil du magasin ou sur notre
site. A bientôt dans votre magasin.
139-000018-006 3586 06/2017 11:16
"
